Cue,CorrAns,Eval,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ensureResponse.thisRepN,ensureResponse.thisTrialN,ensureResponse.thisN,ensureResponse.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,Prediction_Response.keys,Prediction_Response.rt,key_resp_7.keys,key_resp_7.rt,date,expName,Version,frameRate,Subject,
,,,,,,,,,,,,,,,1,3.85193574542,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
,,,,,,,,,,,,,,,,,1,2.05133343265,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_1.jpg,1,Yes,0,0,0,0,0,0,0,0,,,,,,,,,1,1.18447142746,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_1.jpg,1,Yes,0,0,0,0,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_2.jpg,2,No,0,1,1,1,0,0,0,0,,,,,,,,,1,0.197035834904,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_2.jpg,2,No,0,1,1,1,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_3.jpg,1,Yes,0,2,2,2,0,0,0,0,,,,,,,,,2,1.25117213997,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_3.jpg,1,Yes,0,2,2,2,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_4.jpg,1,Yes,0,3,3,3,0,0,0,0,,,,,,,,,1,1.88468382,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_4.jpg,1,Yes,0,3,3,3,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_5.jpg,2,No,0,4,4,4,0,0,0,0,,,,,,,,,1,1.50125510338,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_5.jpg,2,No,0,4,4,4,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_6.jpg,1,Yes,0,5,5,5,0,0,0,0,,,,,,,,,2,1.70077190957,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_6.jpg,1,Yes,0,5,5,5,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_7.jpg,1,Yes,0,6,6,6,0,0,0,0,,,,,,,,,1,1.30117473695,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_7.jpg,1,Yes,0,6,6,6,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_8.jpg,1,Yes,0,7,7,7,0,0,0,0,,,,,,,,,2,1.2180909677,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_8.jpg,1,Yes,0,7,7,7,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_9.jpg,2,No,0,8,8,8,0,0,0,0,,,,,,,,,2,1.25118115942,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_9.jpg,2,No,0,8,8,8,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_10.jpg,1,Yes,0,9,9,9,0,0,0,0,,,,,,,,,1,1.25133262401,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
stim/Smile_10.jpg,1,Yes,0,9,9,9,,,,,,,,,,,,,,,,,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
,,,,,,,,,,,,,,,,,,,,,1,9.58689697578,2019_Mar_08_1251,SocaMotivePractice,1A,59.9915850989,Rej_02,
